number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
2,20,18,1,Wednesday,A,Single carriageway,T or staggered junction,Automatic traffic signal,3,15,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
8,30,8,7,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Raining no high winds,Wet or damp,-1,0,Urban,2,1
1,20,9,5,Wednesday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,30,2,8,Wednesday,Unclassified,Roundabout,Data missing / out of range,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,1
1,30,15,4,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,4,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,21,5,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,70,19,6,Friday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
1,20,21,2,Friday,A,One way street,Data missing / out of range,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,60,20,11,Saturday,B,Slip road,Not at or within 20 metres of junction,Data missing / out of range,4,0,Darkness - lights lit,Raining no high winds,Wet or damp,-1,0,Rural,2,0
2,30,10,10,Friday,A,Roundabout,Data missing / out of range,Give way or uncontrolled,3,13,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,70,17,3,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,1,0
1,20,14,2,Wednesday,Unclassified,Slip road,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Other,Wet or damp,-1,11,Urban,2,1
2,30,9,11,Friday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,23,4,Sunday,A,One way street,Other junction,Automatic traffic signal,3,12,Daylight,Raining no high winds,Dry,-1,0,Urban,2,1
4,40,5,10,Saturday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,-1,0,Urban,2,0
2,30,17,7,Saturday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,15,7,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,-1,-1,Urban,2,1
2,60,9,1,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Frost or ice,0,0,Rural,2,0
1,20,10,1,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,40,6,2,Monday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Darkness - lights lit,Fine no high winds,Frost or ice,-1,0,Rural,2,0
1,30,15,1,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,-1,0,Urban,2,1
1,20,12,4,Monday,Unclassified,Single carriageway,Data missing / out of range,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,13,1,Sunday,A,Single carriageway,Crossroads,Automatic traffic signal,6,14,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
4,50,18,11,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights unlit,Fine no high winds,Dry,-1,0,Rural,2,0
