number_of_vehicles,speed_limit,hour,month,day_of_week,first_road_class,road_type,junction_detail,junction_control,second_road_class,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,trunk_road_flag,cluster
1,20,14,11,Wednesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,99,Darkness - no lighting,Fine no high winds,Unknown,9,99,Urban,2,1
2,20,15,7,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,21,7,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,60,9,6,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,60,8,4,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,10,10,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,22,1,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,70,13,8,Friday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
1,30,10,10,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine + high winds,Dry,0,0,Urban,2,1
3,60,11,8,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,40,19,12,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,20,18,2,Monday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,5,99,Darkness - lights lit,Fine no high winds,Dry,9,0,Urban,2,1
2,40,11,11,Monday,A,Dual carriageway,Other junction,Automatic traffic signal,5,14,Daylight,Raining no high winds,Wet or damp,2,11,Rural,2,0
2,30,8,11,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,12,10,Thursday,Unclassified,Dual carriageway,Data missing / out of range,Unknown,6,99,Daylight,Fine no high winds,Dry,9,0,Urban,2,1
2,30,12,7,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,17,6,Saturday,B,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,40,18,4,Wednesday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,1
1,40,20,1,Monday,A,Dual carriageway,T or staggered junction,Automatic traffic signal,6,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
3,30,15,2,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,4,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,14,Darkness - lights lit,Fine no high winds,Dry,0,18,Urban,2,1
2,30,22,9,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,0,10,Wednesday,C,Single carriageway,Crossroads,Automatic traffic signal,3,14,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,7,10,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,20,2,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights unlit,Unknown,Data missing / out of range,0,0,Rural,2,1
2,20,9,12,Tuesday,Unclassified,Single carriageway,Crossroads,Give way or uncontrolled,4,13,Daylight,Other,Wet or damp,0,0,Urban,2,1
1,30,19,1,Wednesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,12,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,-1,1
4,30,15,10,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Other,Dry,0,0,Urban,2,1
3,40,15,8,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,17,11,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,3,13,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,3,Tuesday,A,Dual carriageway,T or staggered junction,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,8,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,3,12,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,8,3,Tuesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,1,1
1,60,10,6,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,6,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,5,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,60,14,2,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,60,19,10,Friday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,60,23,9,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,20,13,12,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,30,15,11,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,17,9,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,40,15,1,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,60,19,5,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,60,14,10,Wednesday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,50,21,7,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,60,9,1,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,20,8,9,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,16,9,Wednesday,A,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
1,30,14,12,Tuesday,A,Single carriageway,Junction with more than four arms,Automatic traffic signal,5,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,12,3,Saturday,B,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,99,Daylight,Fine no high winds,Dry,9,99,Urban,2,1
2,30,22,9,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,40,7,12,Monday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,30,12,12,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
2,20,2,5,Friday,A,Single carriageway,T or staggered junction,Automatic traffic signal,4,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,50,8,4,Monday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,15,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
1,30,17,3,Wednesday,A,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,12,6,Saturday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,19,8,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,23,6,Wednesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,14,9,Wednesday,A,Single carriageway,Junction with more than four arms,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,10,5,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,40,19,5,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,20,15,2,Sunday,A,Unknown,Junction with more than four arms,Automatic traffic signal,3,12,Daylight,Fine no high winds,Dry,9,99,Urban,2,1
2,40,16,8,Wednesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,13,11,Wednesday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,1
2,30,12,4,Sunday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,40,7,10,Friday,A,Dual carriageway,Crossroads,Automatic traffic signal,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,20,10,Wednesday,B,Single carriageway,Crossroads,Automatic traffic signal,4,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,8,Thursday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,13,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,14,7,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,40,17,3,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,40,8,11,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,16,6,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,15,6,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,17,5,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,20,17,8,Friday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
3,20,16,9,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,16,9,Wednesday,A,Single carriageway,T or staggered junction,Automatic traffic signal,4,13,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,40,7,4,Monday,A,Single carriageway,Other junction,Stop sign,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,17,6,Monday,A,Single carriageway,Crossroads,Automatic traffic signal,3,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,19,6,Tuesday,Unclassified,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,19,6,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,19,2,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Rural,2,0
2,40,18,6,Thursday,A,Single carriageway,Data missing / out of range,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,13,12,Saturday,A,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,99,Daylight,Fine no high winds,Wet or damp,9,99,Urban,2,1
1,30,17,6,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,8,12,Friday,C,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,3,8,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Urban,2,1
2,30,19,3,Sunday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lighting unknown,Fine no high winds,Dry,0,0,Urban,2,1
2,30,18,7,Friday,A,Single carriageway,T or staggered junction,Automatic traffic signal,6,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,8,12,Friday,A,Roundabout,Not at or within 20 metres of junction,Automatic traffic signal,3,15,Daylight,Other,Dry,0,0,Rural,1,0
2,20,5,11,Wednesday,Unclassified,Unknown,Data missing / out of range,Stop sign,6,99,Darkness - lights lit,Fine no high winds,Dry,9,99,Urban,2,1
3,50,23,2,Thursday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,0
2,30,16,11,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,99,Darkness - lights lit,Fine no high winds,Dry,9,99,Urban,2,1
2,30,8,9,Friday,B,Single carriageway,Other junction,Automatic traffic signal,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
1,60,1,9,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,30,19,5,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Data missing / out of range,-1,-1,Rural,2,1
3,30,8,5,Wednesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,6,Friday,A,Dual carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights unlit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,11,11,Sunday,A,Dual carriageway,Junction with more than four arms,Authorised person,6,11,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,20,9,Wednesday,A,Dual carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,1,11,Urban,2,1
1,50,18,11,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,17,Rural,2,0
1,20,17,2,Saturday,A,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,15,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,-1,1
1,60,20,12,Friday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,20,8,8,Monday,Unclassified,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,15,2,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,30,19,1,Friday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,-1,1
2,20,16,5,Thursday,A,Single carriageway,Junction with more than four arms,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,20,12,11,Saturday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,17,2,Thursday,A,Single carriageway,Other junction,Give way or uncontrolled,6,14,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,60,4,10,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,3,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
1,30,9,5,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,16,6,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,14,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,14,6,Friday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
4,30,8,8,Tuesday,A,Single carriageway,Crossroads,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,10,11,Wednesday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,2,Tuesday,A,Single carriageway,Crossroads,Automatic traffic signal,3,15,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
3,30,18,5,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,1
2,30,13,7,Monday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,11,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,16,8,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,70,13,8,Monday,A,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
2,30,11,10,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,1
2,60,9,11,Wednesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Frost or ice,0,0,Rural,2,0
2,30,19,5,Saturday,Unclassified,Single carriageway,Junction with more than four arms,Automatic traffic signal,6,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,16,12,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Urban,2,1
3,30,13,4,Wednesday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,30,16,10,Tuesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,40,1,12,Sunday,B,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Wet or damp,0,0,Rural,2,0
2,30,13,8,Sunday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,4,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,40,10,9,Friday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,1,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
1,20,9,3,Thursday,A,Roundabout,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,23,6,Thursday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,14,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
1,30,15,2,Wednesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Unknown,Data missing / out of range,0,0,Urban,2,1
1,20,13,11,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,99,Daylight,Fine no high winds,Dry,9,99,Urban,2,1
2,30,7,9,Wednesday,C,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,50,17,8,Saturday,Unclassified,Single carriageway,T or staggered junction,Authorised person,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
1,30,15,3,Monday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,17,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,6,9,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,19,5,Thursday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,13,2,Wednesday,A,Slip road,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,1,0
2,30,14,12,Friday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,15,11,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,13,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
3,30,16,5,Tuesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,16,4,Monday,C,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Daylight,Raining no high winds,Wet or damp,0,0,Rural,2,0
2,30,18,10,Thursday,A,Single carriageway,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,17,12,Thursday,B,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Darkness - lights lit,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,20,2,1,Saturday,B,Unknown,Not at or within 20 metres of junction,Data missing / out of range,0,13,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,60,6,9,Tuesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Rural,2,0
2,30,9,9,Friday,A,Roundabout,Not at or within 20 metres of junction,Automatic traffic signal,3,0,Daylight,Fine no high winds,Wet or damp,0,0,Rural,2,1
1,30,15,1,Tuesday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Wet or damp,0,0,Urban,2,1
3,30,22,2,Wednesday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
1,30,12,11,Wednesday,A,Single carriageway,T or staggered junction,Give way or uncontrolled,6,15,Daylight,Raining no high winds,Wet or damp,0,0,Urban,2,1
2,20,12,2,Friday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,20,16,11,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,-1,Daylight,Raining no high winds,Wet or damp,-1,-1,Urban,2,1
1,40,14,10,Tuesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,15,6,Sunday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,60,8,8,Saturday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,2,0
2,30,23,9,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Dry,0,0,Urban,2,1
2,40,14,6,Saturday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,4,-1,Daylight,Fine no high winds,Dry,-1,-1,Rural,1,0
2,60,6,2,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Darkness - no lighting,Fine no high winds,Wet or damp,0,0,Rural,-1,0
2,30,8,5,Friday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Urban,-1,1
1,30,12,10,Monday,Unclassified,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Other,Wet or damp,0,0,Urban,2,1
1,30,15,7,Wednesday,B,Single carriageway,Other junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,70,13,9,Friday,Motorway,Dual carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,30,16,6,Saturday,A,Slip road,Crossroads,Automatic traffic signal,4,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,4,10,Tuesday,B,Single carriageway,Other junction,Give way or uncontrolled,6,0,Darkness - lights lit,Fog or mist,Dry,0,0,Urban,2,1
1,60,15,9,Thursday,A,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,3,0,Daylight,Raining + high winds,Wet or damp,0,0,Rural,-1,0
2,60,9,2,Wednesday,A,Single carriageway,Not at or within 20 metres of junction,Data missing / out of range,0,0,Daylight,Fine no high winds,Dry,0,0,Rural,-1,0
2,20,14,10,Saturday,A,Single carriageway,Other junction,Give way or uncontrolled,3,12,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
2,30,17,2,Monday,B,Roundabout,Not at or within 20 metres of junction,Give way or uncontrolled,6,0,Daylight,Fine no high winds,Dry,0,0,Urban,2,1
1,30,21,10,Sunday,Unclassified,Single carriageway,T or staggered junction,Give way or uncontrolled,6,17,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,20,5,3,Friday,Unclassified,Single carriageway,Crossroads,Automatic traffic signal,5,15,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
2,30,0,9,Saturday,A,Single carriageway,Using private drive or entrance,Give way or uncontrolled,6,0,Darkness - lights lit,Fine no high winds,Dry,0,0,Urban,2,1
